Energy [GeV]             Integral of (J convolved with PSF) out to 0.17 deg [GeV^2/cm^5]
                         BooI                     Seg1                     Draco                    UMi
1.000000000000000000e+02 2.083986005819228800e+17 5.325814782821602304e+18 8.657147184989672960e+17 1.478055686547526144e+18
1.150000000000000000e+02 2.322445270343345280e+17 6.154662265946258432e+18 1.000088441934656896e+18 1.679592294710197504e+18
1.322500000000000000e+02 2.559733782348252480e+17 6.976806070508388352e+18 1.131188517108136832e+18 1.873724421024309760e+18
1.520875000000000057e+02 2.794971858215805120e+17 7.775685133683165184e+18 1.260112468086448128e+18 2.069885274644675328e+18
1.749006249999999909e+02 3.002207478146243200e+17 8.489331660724920320e+18 1.377826937783266048e+18 2.257485254169125888e+18
2.011357187499999952e+02 3.099084407935690880e+17 8.911943032742283264e+18 1.452945672240442624e+18 2.399961433556267008e+18
2.313060765600000082e+02 3.147064744272364160e+17 9.209967787852338176e+18 1.508692850178355456e+18 2.517755397522044928e+18
2.660019880500000227e+02 3.198164892330816640e+17 9.513710679016017920e+18 1.564710008466629632e+18 2.635429576522592256e+18
3.059022862499999746e+02 3.248664177306384640e+17 9.820143628474001408e+18 1.620867091270277120e+18 2.751615955686425600e+18
3.517876291900000183e+02 3.305731974127641600e+17 1.011890597639395738e+19 1.675141539080457984e+18 2.865724314460655616e+18
4.045557735699999853e+02 3.380895343681508480e+17 1.038596775329845248e+19 1.721196398612107520e+18 2.973343733499263488e+18
4.652391396099999952e+02 3.463634366876393600e+17 1.064031004034994586e+19 1.764275505064955392e+18 3.079978652656655360e+18
5.350250105500000473e+02 3.546016570924245120e+17 1.089480210173498368e+19 1.807470780216484096e+18 3.187607802552289792e+18
6.152787621300000183e+02 3.628563970267253120e+17 1.114850726791712154e+19 1.850663445807723520e+18 3.295910723401661952e+18
7.075705764499999759e+02 3.703984424439999360e+17 1.138615847126695731e+19 1.891753802529074176e+18 3.399324957160203776e+18
8.137061629199999970e+02 3.758471052024716160e+17 1.157660443405488742e+19 1.927075371364115712e+18 3.490000704120834048e+18
9.357620873500000016e+02 3.805565971088575360e+17 1.175177139189171200e+19 1.960371433251515648e+18 3.575681651703743488e+18
1.076126400460000013e+03 3.852526041873648000e+17 1.192505119137832960e+19 1.993533504480110848e+18 3.661761171302236672e+18
1.237545360529999925e+03 3.899401089406967680e+17 1.209860478303966208e+19 2.026713877381216512e+18 3.747215209801814016e+18
1.423177164599999969e+03 3.940772350556025600e+17 1.225721316297055232e+19 2.057541537820501504e+18 3.828939938551498240e+18
1.636653739289999976e+03 3.968008048999981440e+17 1.237390896439791411e+19 2.082251027860803328e+18 3.899762068336780800e+18
1.882151800189999904e+03 3.990845023557372160e+17 1.247864591584497254e+19 2.105229314693375232e+18 3.967735347457403392e+18
2.164474570219999805e+03 4.013700454684262400e+17 1.258317125034267034e+19 2.127947586653489920e+18 4.035050567032242176e+18
2.489145755749999807e+03 4.036606191032531840e+17 1.268860700962458419e+19 2.150850934757313024e+18 4.102829588602856960e+18
2.862517619109999941e+03 4.057862838765887360e+17 1.278233584594280243e+19 2.170788950271736832e+18 4.164648414491073536e+18
3.291895261980000214e+03 4.076231545322971520e+17 1.285107904701094912e+19 2.184186563596466688e+18 4.213385439486374912e+18
3.785679551279999941e+03 4.093325515859612160e+17 1.291310358308897382e+19 2.195891783815913216e+18 4.258942072931175424e+18
4.353531483970000409e+03 4.110554003500495360e+17 1.297558861083792794e+19 2.207568380143949312e+18 4.304358697417510400e+18
5.006561206559999846e+03 4.127776435278592640e+17 1.303755935398804070e+19 2.219263825434290944e+18 4.349833035616827904e+18
5.757545387549999759e+03 4.139285117239313920e+17 1.309406059650149581e+19 2.229555648329676544e+18 4.389028709775365120e+18
6.621177195680000295e+03 4.139146197135663360e+17 1.313695841064488755e+19 2.237023934200492032e+18 4.415360028358376960e+18
