Energy [GeV]             Integral of (J convolved with PSF) out to 0.17 deg [GeV^2/cm^5]
                         BooI                     Seg1                     Draco                    UMi
1.000000000000000000e+02 2.622851758981951360e+17 7.919956799641636864e+18 1.295638655896336896e+18 2.168494446348552704e+18
1.150000000000000000e+02 2.757283353466594240e+17 8.420129451611018240e+18 1.387078764355837184e+18 2.169858443669199360e+18
1.322500000000000000e+02 2.897281709532012160e+17 8.870064008943990784e+18 1.457531648024655872e+18 2.309116386869948416e+18
1.520875000000000057e+02 3.041145090556885760e+17 9.333237560457275392e+18 1.533884312325834240e+18 2.467303333431138816e+18
1.749006249999999909e+02 3.159759551048910080e+17 9.720165353473562624e+18 1.592972897876875264e+18 2.619932733759092224e+18
2.011357187499999952e+02 3.270322311105893120e+17 1.007637028977700045e+19 1.654033906325464576e+18 2.777172404270587904e+18
2.313060765600000082e+02 3.365972770608439040e+17 1.037113461277527450e+19 1.698329576986168832e+18 2.935217524794164224e+18
2.660019880500000227e+02 3.426092994659306240e+17 1.070466474198254387e+19 1.740804483258885632e+18 3.064541047894705152e+18
3.059022862499999746e+02 3.508276501420972800e+17 1.090583488582546022e+19 1.778616695168982272e+18 3.166484425367982080e+18
3.517876291900000183e+02 3.572167221468944640e+17 1.111913593959184179e+19 1.812384623912015360e+18 3.268344984311621632e+18
4.045557735699999853e+02 3.615846521797136640e+17 1.128885923871612314e+19 1.844595673472016896e+18 3.354178209708774912e+18
4.652391396099999952e+02 3.647180153771008000e+17 1.143794348957403546e+19 1.876969459294911744e+18 3.435708531342224896e+18
5.350250105500000473e+02 3.700295985844432640e+17 1.161300094062852096e+19 1.897823962129034240e+18 3.515227208323348480e+18
6.152787621300000183e+02 3.727829205687462400e+17 1.171616466399683174e+19 1.919160220861748992e+18 3.582075228763304448e+18
7.075705764499999759e+02 3.738066441389868800e+17 1.177917163878885990e+19 1.929989391733509632e+18 3.643195692177088000e+18
8.137061629199999970e+02 3.753924320810303360e+17 1.183965994638580941e+19 1.939720985279635456e+18 3.703035466014911488e+18
9.357620873500000016e+02 3.753782057438232960e+17 1.188542872225085030e+19 1.948203860431041024e+18 3.741498708298735616e+18
1.076126400460000013e+03 3.749451764883164160e+17 1.188262869759520358e+19 1.953711247685909248e+18 3.756500749681238016e+18
1.237545360529999925e+03 3.739575927525515520e+17 1.187977435780092518e+19 1.955760790579451136e+18 3.799096048657773568e+18
1.423177164599999969e+03 3.754183294230451200e+17 1.189317320996583834e+19 1.953500615325195776e+18 3.795232069248487424e+18
1.636653739289999976e+03 3.745586553777773440e+17 1.182187095295175885e+19 1.952318877870148608e+18 3.810043757940576768e+18
1.882151800189999904e+03 3.707809496954961920e+17 1.183421352317307290e+19 1.956004498825101312e+18 3.823561123776295424e+18
2.164474570219999805e+03 3.712296289326122240e+17 1.188333718567176806e+19 1.950663065678943232e+18 3.832129024055826432e+18
2.489145755749999807e+03 3.723231745109517440e+17 1.182965136065225933e+19 1.949888244306782720e+18 3.836674711215453696e+18
2.862517619109999941e+03 3.641584334507996160e+17 1.184365716502600499e+19 1.961452232834333696e+18 3.820351003106158592e+18
3.291895261980000214e+03 3.702276663404604800e+17 1.184786353204124672e+19 1.938491505586951936e+18 3.827801538383853568e+18
3.785679551279999941e+03 3.668735117229617280e+17 1.176725467767071334e+19 1.936981018352027904e+18 3.824487073357024256e+18
4.353531483970000409e+03 3.663713678159700480e+17 1.178854354881325670e+19 1.949143590961135616e+18 3.829275800111652352e+18
5.006561206559999846e+03 3.678624338979513600e+17 1.174664050024589517e+19 1.942140246952885504e+18 3.817114524571987968e+18
5.757545387549999759e+03 3.638071396431188480e+17 1.182309729727091712e+19 1.956505596594882048e+18 3.843314870691836928e+18
6.621177195680000295e+03 3.663849049974357760e+17 1.168414107284589158e+19 1.932244213046858752e+18 3.805114579622418944e+18
